iter	Passed	Remaining
0	123	123090
1	125	62444
2	126	42176
3	128	32058
4	130	25986
5	132	21937
6	133	18915
7	135	16777
8	137	15132
9	139	13800
10	141	12695
11	142	11764
12	144	10981
13	146	10310
14	148	9730
15	149	9222
16	151	8784
17	154	8418
18	156	8063
19	157	7741
20	159	7446
21	161	7183
22	163	6943
23	165	6717
24	167	6536
25	170	6372
26	172	6210
27	174	6053
28	176	5906
29	178	5768
30	180	5637
31	182	5512
32	184	5402
33	186	5290
34	188	5186
35	189	5086
36	191	4989
37	193	4899
38	195	4813
39	197	4728
40	202	4727
41	204	4655
42	205	4584
43	207	4515
44	209	4449
45	211	4386
46	213	4324
47	215	4273
48	217	4214
49	218	4143
50	220	4096
51	221	4045
52	223	3998
53	225	3952
54	227	3908
55	229	3869
56	231	3833
57	233	3794
58	235	3755
59	237	3718
60	239	3681
61	240	3645
62	242	3611
63	244	3581
64	247	3555
65	249	3525
66	251	3496
67	252	3466
68	254	3436
69	256	3408
70	258	3380
71	260	3352
72	262	3331
73	264	3307
74	266	3281
75	267	3254
76	269	3228
77	271	3205
78	272	3181
79	274	3159
80	276	3138
81	278	3121
82	280	3100
83	282	3080
84	284	3059
85	286	3040
86	287	3019
87	289	3001
88	291	2981
89	293	2965
90	295	2951
91	297	2934
92	299	2916
93	300	2899
94	302	2883
95	304	2866
96	306	2850
97	308	2835
98	310	2826
99	312	2816
100	314	2803
101	316	2789
102	318	2774
103	320	2760
104	322	2746
105	324	2733
106	326	2725
107	328	2714
108	330	2702
109	332	2691
110	334	2680
111	336	2669
112	338	2659
113	341	2650
114	343	2643
115	345	2634
116	347	2623
117	349	2613
118	351	2603
119	353	2594
120	355	2586
121	358	2580
122	360	2573
123	363	2564
124	365	2555
125	366	2545
126	368	2536
127	370	2526
128	373	2519
129	375	2512
130	377	2503
131	379	2496
132	381	2488
133	383	2479
134	385	2471
135	387	2464
136	390	2457
137	392	2450
138	394	2445
139	397	2441
140	399	2435
141	402	2429
142	404	2422
143	406	2413
144	407	2405
145	410	2398
146	412	2391
147	414	2383
148	415	2375
149	417	2367
150	419	2360
151	421	2353
152	423	2346
153	425	2338
154	427	2331
155	429	2324
156	431	2318
157	433	2311
158	435	2304
159	437	2296
160	439	2289
161	441	2282
162	443	2275
163	445	2269
164	447	2262
165	449	2256
166	451	2249
167	453	2243
168	455	2237
169	456	2230
170	458	2224
171	460	2218
172	462	2212
173	464	2203
174	466	2197
175	467	2190
176	469	2184
177	471	2178
178	472	2167
179	474	2161
180	475	2153
181	477	2148
182	480	2143
183	482	2138
184	483	2132
185	485	2125
186	487	2120
187	489	2114
188	491	2108
189	493	2102
190	495	2097
191	497	2093
192	499	2087
193	501	2082
194	502	2076
195	504	2070
196	506	2064
197	508	2058
198	510	2054
199	512	2049
200	513	2039
201	514	2034
202	516	2029
203	518	2024
204	520	2019
205	522	2014
206	524	2009
207	525	2000
208	526	1991
209	527	1984
210	529	1981
211	531	1976
212	533	1972
213	535	1968
214	538	1965
215	540	1962
216	543	1959
217	545	1956
218	547	1951
219	548	1944
220	550	1941
221	552	1937
222	555	1933
223	557	1930
224	559	1926
225	561	1922
226	563	1918
227	565	1914
228	567	1911
229	569	1907
230	571	1903
231	573	1899
232	575	1895
233	577	1891
234	579	1887
235	581	1883
236	583	1879
237	586	1876
238	588	1872
239	589	1868
240	591	1864
241	593	1860
242	595	1856
243	597	1852
244	600	1849
245	602	1845
246	603	1841
247	606	1837
248	607	1833
249	609	1829
250	611	1826
251	614	1822
252	615	1818
253	617	1814
254	619	1810
255	621	1806
256	623	1803
257	625	1799
258	627	1795
259	629	1792
260	631	1788
261	633	1784
262	635	1780
263	637	1777
264	639	1773
265	641	1769
266	643	1766
267	645	1763
268	647	1760
269	649	1756
270	651	1753
271	653	1749
272	655	1745
273	657	1742
274	659	1738
275	661	1735
276	663	1731
277	665	1727
278	667	1724
279	669	1720
280	671	1717
281	673	1713
282	674	1710
283	676	1706
284	678	1702
285	680	1699
286	682	1695
287	684	1692
288	686	1688
289	688	1685
290	690	1681
291	692	1678
292	694	1675
293	696	1671
294	698	1668
295	699	1664
296	701	1661
297	703	1657
298	705	1654
299	707	1651
300	709	1648
301	711	1644
302	713	1641
303	715	1638
304	717	1634
305	719	1631
306	721	1629
307	723	1626
308	725	1622
309	727	1619
310	729	1616
311	731	1613
312	733	1609
313	735	1607
314	737	1604
315	740	1602
316	742	1599
317	744	1595
318	746	1592
319	747	1589
320	749	1586
321	752	1583
322	754	1580
323	756	1577
324	758	1574
325	760	1571
326	762	1568
327	764	1565
328	766	1563
329	768	1559
330	770	1556
331	772	1553
332	774	1550
333	776	1547
334	778	1544
335	780	1541
336	782	1538
337	783	1535
338	785	1532
339	787	1529
340	789	1526
341	791	1523
342	793	1520
343	795	1517
344	797	1514
345	799	1511
346	801	1508
347	803	1505
348	805	1502
349	807	1499
350	809	1497
351	811	1494
352	813	1491
353	815	1488
354	817	1485
355	819	1482
356	821	1480
357	823	1477
358	825	1474
359	827	1471
360	829	1468
361	832	1466
362	834	1463
363	836	1461
364	838	1458
365	840	1455
366	841	1452
367	844	1449
368	846	1446
369	848	1444
370	850	1441
371	852	1438
372	854	1436
373	856	1433
374	858	1430
375	860	1427
376	862	1425
377	864	1423
378	867	1420
379	869	1418
380	871	1415
381	873	1413
382	876	1411
383	878	1409
384	881	1407
385	883	1405
386	885	1402
387	887	1400
388	889	1397
389	891	1394
390	894	1392
391	896	1390
392	899	1388
393	901	1386
394	903	1383
395	905	1380
396	907	1378
397	909	1375
398	912	1374
399	914	1372
400	917	1370
401	919	1368
402	922	1365
403	924	1363
404	926	1361
405	928	1359
406	931	1356
407	933	1355
408	936	1352
409	938	1349
410	940	1347
411	942	1345
412	945	1343
413	947	1341
414	949	1339
415	952	1336
416	954	1334
417	956	1332
418	959	1330
419	962	1328
420	964	1326
421	966	1324
422	968	1321
423	971	1320
424	980	1326
425	988	1332
426	997	1339
427	1005	1343
428	1011	1346
429	1014	1344
430	1017	1343
431	1027	1350
432	1029	1348
433	1032	1345
434	1034	1343
435	1036	1341
436	1042	1343
437	1047	1344
438	1051	1344
439	1055	1343
440	1058	1342
441	1061	1340
442	1064	1338
443	1067	1336
444	1069	1334
445	1071	1331
446	1073	1328
447	1076	1326
448	1078	1322
449	1079	1319
450	1081	1316
451	1083	1313
452	1085	1310
453	1087	1307
454	1089	1304
455	1091	1301
456	1092	1298
457	1094	1295
458	1096	1292
459	1098	1289
460	1100	1286
461	1102	1283
462	1104	1280
463	1107	1279
464	1109	1276
465	1111	1273
466	1113	1270
467	1114	1267
468	1116	1264
469	1118	1261
470	1121	1259
471	1123	1257
472	1125	1254
473	1127	1251
474	1129	1248
475	1131	1245
476	1133	1242
477	1135	1240
478	1138	1237
479	1143	1238
480	1145	1235
481	1147	1232
482	1149	1230
